,movieId,count,avg_rating,director,genre,year,LeadActor,language
1,1.0,49695.0,3.921239561324077,John Lasseter,Animation,1995,Tom Hanks,English
2,2.0,22243.0,3.21197680169042,Joe Johnston,Adventure,1995,Robin Williams,English
3,3.0,12735.0,3.1510404397330194,Howard Deutch,Comedy,1995,Walter Matthau,English
4,4.0,2756.0,2.8613933236574747,Forest Whitaker,Comedy,1995,Whitney Houston,English
5,5.0,12161.0,3.064591727653976,Charles Shyer,Comedy,1995,Steve Martin,English
6,6.0,23899.0,3.8349303318130468,Michael Mann,Crime,1995,Al Pacino,English
7,7.0,12961.0,3.3664840675873777,Sydney Pollack,Comedy,1995,Harrison Ford,English
8,8.0,1415.0,3.1420494699646637,Peter Hewitt,Adventure,1995,Jonathan Taylor Thomas,English
9,9.0,3960.0,3.0049242424242424,Peter Hyams,Action,1995,Jean-Claude Van Damme,English
10,10.0,29005.0,3.4300293052921917,Martin Campbell,Action,1995,Pierce Brosnan,English
11,11.0,18162.0,3.667712806959586,Rob Reiner,Comedy,1995,Michael Douglas,English
12,12.0,3845.0,2.619765929778933,Mel Brooks,Comedy,1995,Leslie Nielsen,English
13,13.0,1461.0,3.272416153319644,Simon Wells,Animation,1995,Kevin Bacon,English
14,14.0,6022.0,3.432082364662904,Oliver Stone,Biography,1995,Anthony Hopkins,English
15,15.0,2910.0,2.7219931271477664,Renny Harlin,Action,1995,Geena Davis,English
16,16.0,17394.0,3.787455444406117,Martin Scorsese,Crime,1995,Robert De Niro,English
17,17.0,20667.0,3.9685730875308463,Ang Lee,Drama,1995,James Fleet,English
18,18.0,5203.0,3.3736305977320766,Allison Anders,Comedy,1995,Sammi Davis,English
19,19.0,20938.0,2.6074123603018435,Steve Oedekerk,Adventure,1995,Jim Carrey,English
20,20.0,4084.0,2.8807541625857005,Joseph Ruben,Action,1995,Wesley Snipes,English
21,21.0,24116.0,3.5816885055564773,Barry Sonnenfeld,Comedy,1995,John Travolta,English
22,22.0,9928.0,3.3193996776792907,Jon Amiel,Drama,1995,Sigourney Weaver,English
23,23.0,4250.0,3.1482352941176472,Richard Donner,Action,1995,Sylvester Stallone,English
24,24.0,7971.0,3.199849454271735,Victor Salva,Drama,1995,Mary Steenburgen,English
25,25.0,21553.0,3.689509581032803,Mike Figgis,Drama,1995,Nicolas Cage,English
26,26.0,2755.0,3.6288566243194182,Oliver Parker,Drama,1995,Laurence Fishburne,English
27,27.0,1642.0,3.413520097442144,Lesli Linka Glatter,Comedy,1995,Christina Ricci,English
28,28.0,3154.0,4.057545973367152,Roger Michell,Drama,1995,Amanda Root,English
29,29.0,8520.0,3.952230046948357,Marc Caro,Fantasy,1995,Ron Perlman,French
30,30.0,1281.0,3.633879781420765,Yimou Zhang,Crime,1995,Li Gong,Mandarin
31,31.0,9435.0,3.2503444621091684,John N. Smith,Biography,1995,Michelle Pfeiffer,English
32,32.0,44980.0,3.8980546909737663,Terry Gilliam,Mystery,1995,Joseph Melito,English
33,33.0,65.0,3.0076923076923077,Jean-Jacques Annaud,Adventure,1995,Craig Sheffer,English
34,34.0,32255.0,3.6430940939389242,Chris Noonan,Comedy,1995,Christine Cavanaugh,English
35,35.0,1493.0,3.5016744809109177,Christopher Hampton,Biography,1995,Emma Thompson,English
36,36.0,20809.0,3.9427170935652853,Tim Robbins,Crime,1995,Susan Sarandon,English
37,37.0,85.0,3.0176470588235293,Stephen Low,Adventure,1995,Peter Reznick,English
38,38.0,552.0,2.857789855072464,Andy Tennant,Comedy,1995,Kirstie Alley,English
39,39.0,26254.0,3.4136322084253834,Amy Heckerling,Comedy,1995,Alicia Silverstone,English
40,40.0,886.0,3.646726862302483,Darrell Roodt,Drama,1995,James Earl Jones,English
41,41.0,4689.0,3.8521006611217743,Richard Loncraine,Drama,1995,Christopher Bowen,English
42,42.0,2467.0,3.0551276854479124,Albert Hughes,Action,1995,Larenz Tate,English
43,43.0,2552.0,3.4684561128526648,Michael Hoffman,Biography,1995,Robert Downey Jr.,English
44,44.0,10697.0,2.653874918201365,Paul W.S. Anderson,Action,1995,Christopher Lambert,English
45,45.0,8933.0,3.384361356767044,Gus Van Sant,Comedy,1995,Nicole Kidman,English
46,46.0,3205.0,3.2748829953198126,Jocelyn Moorhouse,Comedy,1995,Kaelynn Craddick,English
47,47.0,43249.0,4.053492566302111,David Fincher,Crime,1995,Morgan Freeman,English
48,48.0,13046.0,2.946113751341408,Mike Gabriel,Animation,1995,Joe Baker,English
49,49.0,236.0,3.5847457627118646,Patricia Rozema,Drama,1995,Pascale Bussières,English
50,50.0,47006.0,4.334372207803259,Bryan Singer,Crime,1995,Stephen Baldwin,English
51,51.0,27.0,2.5555555555555562,Richard W. Munchkin,Action,1994,Cynthia Rothrock,English
52,52.0,9320.0,3.5411480686695285,Woody Allen,Comedy,1995,Pamela Blair,English
53,53.0,150.0,3.6966666666666654,Gianni Amelio,Drama,1994,Enrico Lo Verso,Albanian
54,54.0,956.0,2.854602510460252,Holly Goldberg Sloan,Comedy,1995,Steve Guttenberg,English
55,55.0,939.0,3.241214057507987,Ulu Grosbard,Drama,1995,Jennifer Jason Leigh,English
56,56.0,70.0,1.871428571428572,Robert Tinnell,Adventure,1995,Johnny Morina,English
57,57.0,2439.0,3.3245182451824515,Jodie Foster,Comedy,1995,Holly Hunter,English
