,movieId,count,avg_rating,director,genre,year,LeadActor,language
0,131072.0,1.0,2.5,Florian David Fitz,Comedy,2012,Jessica Schwarz,German
1,1.0,49695.0,3.9212395613240765,John Lasseter,Animation,1995,Tom Hanks,English
2,2.0,22243.0,3.2119768016904198,Joe Johnston,Adventure,1995,Robin Williams,English
3,3.0,12735.0,3.1510404397330194,Howard Deutch,Comedy,1995,Walter Matthau,English
4,4.0,2756.0,2.8613933236574747,Forest Whitaker,Comedy,1995,Whitney Houston,English
5,5.0,12161.0,3.0645917276539762,Charles Shyer,Comedy,1995,Steve Martin,English
6,6.0,23899.0,3.834930331813047,Michael Mann,Crime,1995,Al Pacino,English
7,7.0,12961.0,3.3664840675873777,Sydney Pollack,Comedy,1995,Harrison Ford,English
8,8.0,1415.0,3.1420494699646633,Peter Hewitt,Adventure,1995,Jonathan Taylor Thomas,English
9,9.0,3960.0,3.0049242424242424,Peter Hyams,Action,1995,Jean-Claude Van Damme,English
10,10.0,29005.0,3.4300293052921913,Martin Campbell,Action,1995,Pierce Brosnan,English
11,11.0,18162.0,3.667712806959586,Rob Reiner,Comedy,1995,Michael Douglas,English
12,12.0,3845.0,2.619765929778933,Mel Brooks,Comedy,1995,Leslie Nielsen,English
13,13.0,1461.0,3.272416153319644,Simon Wells,Animation,1995,Kevin Bacon,English
14,14.0,6022.0,3.4320823646629037,Oliver Stone,Biography,1995,Anthony Hopkins,English
15,15.0,2910.0,2.7219931271477664,Renny Harlin,Action,1995,Geena Davis,English
16,16.0,17394.0,3.787455444406117,Martin Scorsese,Crime,1995,Robert De Niro,English
17,17.0,20667.0,3.9685730875308463,Ang Lee,Drama,1995,James Fleet,English
18,18.0,5203.0,3.373630597732077,Allison Anders,Comedy,1995,Sammi Davis,English
19,19.0,20938.0,2.6074123603018435,Steve Oedekerk,Adventure,1995,Jim Carrey,English
20,20.0,4084.0,2.8807541625857005,Joseph Ruben,Action,1995,Wesley Snipes,English
21,21.0,24116.0,3.5816885055564773,Barry Sonnenfeld,Comedy,1995,John Travolta,English
22,22.0,9928.0,3.3193996776792907,Jon Amiel,Drama,1995,Sigourney Weaver,English
23,23.0,4250.0,3.1482352941176472,Richard Donner,Action,1995,Sylvester Stallone,English
24,24.0,7971.0,3.199849454271735,Victor Salva,Drama,1995,Mary Steenburgen,English
25,25.0,21553.0,3.689509581032803,Mike Figgis,Drama,1995,Nicolas Cage,English
26,26.0,2755.0,3.6288566243194187,Oliver Parker,Drama,1995,Laurence Fishburne,English
27,27.0,1642.0,3.4135200974421434,Lesli Linka Glatter,Comedy,1995,Christina Ricci,English
28,28.0,3154.0,4.0575459733671515,Roger Michell,Drama,1995,Amanda Root,English
29,29.0,8520.0,3.9522300469483573,Marc Caro,Fantasy,1995,Ron Perlman,French
30,30.0,1281.0,3.633879781420765,Yimou Zhang,Crime,1995,Li Gong,Mandarin
31,31.0,9435.0,3.2503444621091684,John N. Smith,Biography,1995,Michelle Pfeiffer,English
32,32.0,44980.0,3.8980546909737663,Terry Gilliam,Mystery,1995,Joseph Melito,English
33,33.0,65.0,3.007692307692308,Jean-Jacques Annaud,Adventure,1995,Craig Sheffer,English
34,34.0,32255.0,3.643094093938924,Chris Noonan,Comedy,1995,Christine Cavanaugh,English
35,35.0,1493.0,3.5016744809109177,Christopher Hampton,Biography,1995,Emma Thompson,English
